year,date,type,agencies_slug_uq,agencies_id_uq,agencies_acronym_uq,agency_names,agency_slugs,document_number,title,editorial_note,filing_type,json_url,indicator
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00986,Certificates of Public Convenience and Necessity: Eastern Shore Natural Gas Co.,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00986,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00987,Combined Filings,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00987,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00988,Filings: Western Area Power Administration,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00988,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00990,"Initial Market-Based Rate Filings Including Requests for Blanket Section 204 Authorizations: Stream Ohio Gas and Electric, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00990,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00991,"Initial Market-Based Rate Filings Including Requests for Blanket Section 204 Authorizations: Stream Energy Illinois, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00991,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00992,"Initial Market-Based Rate Filings Including Requests for Blanket Section 204 Authorizations: Stream Energy Indiana, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00992,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00993,"Initial Market-Based Rate Filings Including Requests for Blanket Section 204 Authorizations: Stream Energy Delaware, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00993,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00994,"Initial Market-Based Rate Filings Including Requests for Blanket Section 204 Authorizations: Stream Energy Connecticut, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00994,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00995,"Initial Market-Based Rate Filings Including Requests for Blanket Section 204 Authorizations: Stream Energy Massachusetts, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00995,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00996,Staff Attendances,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00996,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00997,"Meetings: Dominion Cove Point LNG, LP; Technical Conference",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00997,0
2017,2017-01-17,Notice,energy-department,136,DOE,Energy Department,energy-department,2017-01031,Export Electric Energy; Applications: BP Energy Co.,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01031,0
2017,2017-01-17,Notice,energy-department,136,DOE,Energy Department,energy-department,2017-01032,Export Electric Energy; Applications: BP Energy Co.,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01032,0
2017,2017-01-17,Notice,energy-department,136,DOE,Energy Efficiency and Renewable Energy Office,energy-efficiency-and-renewable-energy-office,2017-01037,Requests for Information: Challenges and Opportunities for Sustainable Development of Hydropower in Undeveloped Stream Reaches of the United States,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01037,0
2017,2017-01-17,Notice,farm-credit-administration,154,FCA,Farm Credit Administration,farm-credit-administration,2017-01054,Market Access Agreements,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01054,0
2017,2017-01-17,Notice,federal-election-commission,165,FEC,Federal Election Commission,federal-election-commission,2017-01428,Meetings; Sunshine Act,,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01428,0
2017,2017-01-17,Notice,federal-reserve-system,188,FRS,Federal Reserve System,federal-reserve-system,2017-01045,"Formations of, Acquisitions by, and Mergers of Bank Holding Companies",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01045,0
2017,2017-01-17,Notice,federal-reserve-system,188,FRS,Federal Reserve System,federal-reserve-system,2017-01046,Changes in Bank Control: Acquisitions of Shares of a Bank or Bank Holding Company,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01046,0
2017,2017-01-17,Notice,government-accountability-office,213,GAO,Government Accountability Office,government-accountability-office,2017-00593,Request for Nominations: Medicare Payment Advisory Commission,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00593,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,National Institutes of Health,national-institutes-of-health,2017-00894,Meetings: National Institute of Dental and Craniofacial Research,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00894,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,National Institutes of Health,national-institutes-of-health,2017-00895,Meetings: National Institute of Diabetes and Digestive and Kidney Diseases,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00895,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,National Institutes of Health,national-institutes-of-health,2017-00896,Meetings: National Institute of Diabetes and Digestive and Kidney Diseases,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00896,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,National Institutes of Health,national-institutes-of-health,2017-00897,Meetings: National Institute of Diabetes and Digestive and Kidney Diseases,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00897,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,National Institutes of Health,national-institutes-of-health,2017-00898,Meetings: National Institute of Mental Health,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00898,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,National Institutes of Health,national-institutes-of-health,2017-00899,Meetings: National Institute of Mental Health,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00899,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,National Institutes of Health,national-institutes-of-health,2017-00900,Charter Renewals: National Toxicology Program Special Emphasis Panel,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00900,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,Food and Drug Administration,food-and-drug-administration,2017-00969,Guidance: Prohibition of Distributing Free Samples of Tobacco Products,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00969,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,Substance Abuse and Mental Health Services Administration,substance-abuse-and-mental-health-services-administration,2017-00980,"Agency Information Collection Activities; Proposals, Submissions, and Approvals",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00980,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,Centers for Medicare & Medicaid Services,centers-for-medicare-medicaid-services,2017-00982,"Agency Information Collection Activities; Proposals, Submissions, and Approvals",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00982,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,Health Resources and Services Administration,health-resources-and-services-administration,2017-00998,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: NURSE Corps Loan Repayment Program",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00998,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,Food and Drug Administration,food-and-drug-administration,2017-01024,Guidance: Assessment of Abuse Potential of Drugs,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01024,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,Centers for Disease Control and Prevention,centers-for-disease-control-and-prevention,2017-01027,"Environmental Assessments; Availability, etc.: Mosquito Control Activities Funded by HHS/CDC to Combat Zika Virus Transmission in United States",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01027,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,Food and Drug Administration,food-and-drug-administration,2017-01042,Guidance: Considerations in Demonstrating Interchangeability with Reference Product,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01042,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,Food and Drug Administration,food-and-drug-administration,2017-01064,"Determinations that Products Were Not Withdrawn from Sale for Reasons of Safety or Effectiveness: SYMMETREL (Amantadine Hydrochloride), Syrup, 50 milligrams/5 Milliliters",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01064,0
2017,2017-01-17,Notice,health-and-human-services-department,221,HHS,Indian Health Service,indian-health-service,2017-01075,Reimbursement Rates for Calendar Year 2017,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01075,0
2017,2017-01-17,Notice,homeland-security-department,227,DHS,U.S. Citizenship and Immigration Services,u-s-citizenship-and-immigration-services,2017-01051,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Refugee/Asylee Relative Petition",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01051,0
2017,2017-01-17,Notice,housing-and-urban-development-department,228,HUD,Housing and Urban Development Department,housing-and-urban-development-department,2017-01007,"Community Development Block Grant Disaster Recovery Grantees: Allocations, Common Application, Waivers, and Alternative Requirements",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01007,0
2017,2017-01-17,Notice,interior-department,253,DOI,Fish and Wildlife Service,fish-and-wildlife-service,2017-00808,"Environmental Assessments; Availability, etc.: National Bison Range, Moiese, MT, Comprehensive Conservation Plan",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00808,0
2017,2017-01-17,Notice,interior-department,253,DOI,Fish and Wildlife Service,fish-and-wildlife-service,2017-00960,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Import of Sport-Hunted African Elephant Trophies",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00960,0
2017,2017-01-17,Notice,interior-department,253,DOI,Fish and Wildlife Service,fish-and-wildlife-service,2017-00983,Charter Renewals: Trinity River Adaptive Management Working Group,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00983,0
2017,2017-01-17,Notice,interior-department,253,DOI,Land Management Bureau,land-management-bureau,2017-01000,"Environmental Impact Statements; Availability, etc.: Vantage to Pomona Heights 230 kV Transmission Line Project in Grant, Kittitas, and Yakima Counties, WA; Record of Decision",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01000,0
2017,2017-01-17,Notice,interior-department,253,DOI,Reclamation Bureau,reclamation-bureau,2017-01002,"Agency Information Collection Activities; Proposals, Submissions, and Approvals",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01002,0
2017,2017-01-17,Notice,interior-department,253,DOI,Land Management Bureau,land-management-bureau,2017-01008,Plats of Surveys: Arizona,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01008,0
2017,2017-01-17,Notice,interior-department,253,DOI,Ocean Energy Management Bureau,ocean-energy-management-bureau,2017-01059,"Atlantic Wind Lease Sales: Commercial Leasing for Wind Power on Outer Continental Shelf Offshore Kitty Hawk, NC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01059,0
2017,2017-01-17,Notice,labor-department,271,DOL,Labor Department,labor-department,2017-00975,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Claim for Reimbursement of Benefit Payments and Claims Expense under War Hazards Compensation Act",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00975,0
2017,2017-01-17,Notice,national-foundation-on-the-arts-and-the-humanities,342,ARTS,Institute of Museum and Library Services,institute-of-museum-and-library-services,2017-00953,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Museums Empowered: Professional Development and Capacity Building Opportunities for Museums -- Museums for America Special Initiative",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00953,0
2017,2017-01-17,Notice,national-foundation-on-the-arts-and-the-humanities,342,ARTS,Institute of Museum and Library Services,institute-of-museum-and-library-services,2017-00954,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Museums for All Program Evaluation",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00954,0
2017,2017-01-17,Notice,national-mediation-board,357,NMB,National Mediation Board,national-mediation-board,2017-00968,"Agency Information Collection Activities; Proposals, Submissions, and Approvals",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00968,0
2017,2017-01-17,Notice,neighborhood-reinvestment-corporation,379,NEIGHBOR,Neighborhood Reinvestment Corporation,neighborhood-reinvestment-corporation,2017-01157,Meetings; Sunshine Act,,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01157,0
2017,2017-01-17,Notice,nuclear-regulatory-commission,383,NRC,Nuclear Regulatory Commission,nuclear-regulatory-commission,2017-01035,Combined License Applications: Duke Energy Progress; Shearon Harris Nuclear Power Plant Units 2 and 3,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01035,0
2017,2017-01-17,Notice,railroad-retirement-board,444,RRB,Railroad Retirement Board,railroad-retirement-board,2017-00962,"Agency Information Collection Activities; Proposals, Submissions, and Approvals",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00962,0
2017,2017-01-17,Notice,securities-and-exchange-commission,466,SEC,Securities and Exchange Commission,securities-and-exchange-commission,2017-01142,Meetings; Sunshine Act,,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01142,0
2017,2017-01-17,Notice,securities-and-exchange-commission,466,SEC,Securities and Exchange Commission,securities-and-exchange-commission,2017-00963,"Applications: Owl Rock Capital Corp., et al.",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00963,0
2017,2017-01-17,Notice,securities-and-exchange-commission,466,SEC,Securities and Exchange Commission,securities-and-exchange-commission,2017-00964,"Self-Regulatory Organizations; Proposed Rule Changes: Bats EDGA Exchange, Inc.",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00964,0
2017,2017-01-17,Notice,securities-and-exchange-commission,466,SEC,Securities and Exchange Commission,securities-and-exchange-commission,2017-00965,"Self-Regulatory Organizations; Proposed Rule Changes: Bats EDGX Exchange, Inc.",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00965,0
2017,2017-01-17,Notice,small-business-administration,468,SBA,Small Business Administration,small-business-administration,2017-00955,Meetings: Interagency Task Force on Veterans Small Business Development,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00955,0
2017,2017-01-17,Notice,small-business-administration,468,SBA,Small Business Administration,small-business-administration,2017-00973,Interest Rates,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00973,0
2017,2017-01-17,Notice,state-department,476,DOS,State Department,state-department,2017-00957,Culturally Significant Objects Imported for Exhibition: Medici’s Painter: Carlo Dolci and 17th-Century Florence,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00957,0
2017,2017-01-17,Notice,state-department,476,DOS,State Department,state-department,2017-01052,Designations and Determinations Pursuant to Foreign Missions Act,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01052,0
2017,2017-01-17,Notice,state-department,476,DOS,State Department,state-department,2017-01053,Designations and Determinations Pursuant to Foreign Missions Act,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01053,0
2017,2017-01-17,Notice,transportation-department,492,DOT,Federal Transit Administration,federal-transit-administration,2017-00678,National Public Transportation Safety Plan,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00678,0
